Simulation Time,used STY,used MDO
1098.43,0.000906959,4.84E-05
1101.99,0.000909829,4.85E-05
1105.49,0.000912698,4.87E-05
1108.97,0.00091557,4.89E-05
1112.39,0.000918438,4.90E-05
1115.95,0.000921304,4.92E-05
1119.48,0.000924176,4.93E-05
1122.96,0.000927043,4.95E-05
1126.49,0.000929917,4.96E-05
1129.88,0.000932784,4.98E-05
1133.32,0.000935656,4.99E-05
1136.84,0.000938524,5.01E-05
1140.35,0.000941398,5.02E-05
1143.81,0.000944269,5.04E-05
1147.36,0.000947136,5.05E-05
1150.88,0.000950009,5.07E-05
1154.26,0.000952879,5.08E-05
1157.69,0.000955746,5.10E-05
1161.09,0.000958617,5.12E-05
1164.51,0.00096149,5.13E-05
1167.96,0.00096436,5.15E-05
1171.31,0.000967236,5.16E-05
1174.9,0.000970104,5.18E-05
1178.37,0.000972972,5.19E-05
1181.9,0.000975842,5.21E-05
1185.35,0.000978715,5.22E-05
1188.88,0.000981583,5.24E-05
1192.47,0.000984449,5.25E-05
1195.98,0.000987317,5.27E-05
1199.46,0.000990187,5.28E-05
1202.89,0.000993055,5.30E-05
1206.34,0.000995922,5.32E-05
1209.83,0.000998786,5.33E-05
1213.29,0.00100165,5.35E-05
1216.82,0.00100452,5.36E-05
1220.36,0.00100739,5.38E-05
1223.85,0.00101026,5.39E-05
1227.34,0.00101313,5.41E-05
1230.8,0.001016,5.42E-05
1234.31,0.00101886,5.44E-05
1237.8,0.00102173,5.45E-05
1241.31,0.0010246,5.47E-05
1244.8,0.00102747,5.49E-05
1248.21,0.00103034,5.50E-05
1251.64,0.0010332,5.52E-05
1255.17,0.00103608,5.53E-05
1258.73,0.00103894,5.55E-05
1262.29,0.00104181,5.56E-05
1265.8,0.00104468,5.58E-05
1269.34,0.00104755,5.59E-05
1272.85,0.00105041,5.61E-05
1276.3,0.00105328,5.62E-05
1279.75,0.00105615,5.64E-05
1283.28,0.00105902,5.65E-05
1286.74,0.00106189,5.67E-05
1290.27,0.00106476,5.69E-05
1293.72,0.00106763,5.70E-05
1297.25,0.0010705,5.72E-05
1300.75,0.00107337,5.73E-05
1304.25,0.00107623,5.75E-05
1307.68,0.0010791,5.76E-05
1311.25,0.00108197,5.78E-05
1314.69,0.00108483,5.79E-05
1318.2,0.0010877,5.81E-05
1321.68,0.00109057,5.82E-05
1325.23,0.00109344,5.84E-05
1328.71,0.00109632,5.85E-05
1332.33,0.00109919,5.87E-05
1335.83,0.00110206,5.89E-05
1339.3,0.00110493,5.90E-05
1342.82,0.00110779,5.92E-05
1346.35,0.00111066,5.93E-05
1349.83,0.00111353,5.95E-05
1353.33,0.0011164,5.96E-05
1356.79,0.00111926,5.98E-05
1360.27,0.00112213,5.99E-05
1363.77,0.001125,6.01E-05
1367.12,0.00112787,6.02E-05
1370.63,0.00113073,6.04E-05
1374.07,0.0011336,6.06E-05
1377.51,0.00113646,6.07E-05
1381,0.00113933,6.09E-05
1384.53,0.0011422,6.10E-05
1388.06,0.00114507,6.12E-05
1391.59,0.00114794,6.13E-05
1395.05,0.00115081,6.15E-05
