Simulation Time,used STY,used MDO
111.83,0.00085703,0.00022949
112.157,0.000859511,0.000230158
112.488,0.000861991,0.000230828
112.808,0.000864476,0.000231492
113.121,0.000866963,0.000232154
113.438,0.000869454,0.000232813
113.741,0.000871939,0.000233476
114.046,0.000874424,0.00023414
114.352,0.000876912,0.000234802
114.669,0.000879394,0.000235469
114.988,0.000881878,0.000236134
115.312,0.000884364,0.000236798
115.633,0.00088685,0.000237461
115.955,0.000889332,0.00023813
116.279,0.000891814,0.000238797
116.615,0.000894294,0.000239467
116.94,0.000896772,0.000240138
117.25,0.000899256,0.000240802
117.564,0.000901736,0.000241471
117.898,0.000904214,0.000242144
118.233,0.000906695,0.000242812
118.556,0.000909175,0.000243482
118.88,0.000911663,0.000244144
119.189,0.000914149,0.000244808
119.513,0.000916634,0.000245473
119.83,0.000919118,0.000246138
120.162,0.0009216,0.000246805
120.498,0.000924081,0.000247474
120.844,0.000926559,0.000248146
121.186,0.000929044,0.000248811
121.511,0.000931531,0.000249474
121.83,0.000934018,0.000250137
122.149,0.000936498,0.000250805
122.464,0.000938982,0.000251469
122.775,0.000941458,0.000252142
123.091,0.00094394,0.00025281
123.416,0.00094642,0.000253479
123.752,0.000948899,0.000254149
124.08,0.000951381,0.000254815
124.391,0.000953867,0.000255479
124.691,0.000956352,0.000256145
125,0.000958837,0.000256808
125.33,0.000961313,0.000257482
125.665,0.000963799,0.000258145
125.984,0.000966283,0.000258809
126.297,0.000968762,0.00025948
126.623,0.000971244,0.000260146
126.964,0.000973723,0.000260817
127.298,0.000976206,0.000261483
127.633,0.000978686,0.000262153
127.963,0.000981169,0.000262819
128.305,0.000983651,0.000263487
128.644,0.000986133,0.000264154
128.981,0.000988614,0.000264822
129.305,0.000991098,0.000265486
129.618,0.000993582,0.000266152
129.938,0.000996064,0.000266818
130.262,0.000998554,0.000267476
130.589,0.00100104,0.000268137
130.916,0.00100353,0.000268804
131.239,0.00100601,0.000269469
131.571,0.00100849,0.000270137
131.902,0.00101097,0.000270803
132.231,0.00101345,0.000271472
132.545,0.00101593,0.00027214
132.858,0.00101842,0.000272803
133.181,0.0010209,0.000273473
133.498,0.00102338,0.000274139
133.813,0.00102586,0.000274807
134.148,0.00102835,0.000275474
134.468,0.00103083,0.000276141
134.787,0.00103332,0.000276803
135.108,0.0010358,0.00027747
135.43,0.00103828,0.000278139
135.754,0.00104076,0.000278807
136.076,0.00104324,0.000279476
136.404,0.00104572,0.000280144
136.73,0.0010482,0.000280814
137.054,0.00105068,0.000281484
137.368,0.00105316,0.00028215
137.705,0.00105564,0.00028282
138.046,0.00105813,0.000283484
138.381,0.00106061,0.000284152
138.716,0.00106309,0.000284818
139.049,0.00106558,0.000285482
139.367,0.00106806,0.000286145
139.671,0.00107054,0.000286812
139.984,0.00107303,0.000287475
140.316,0.00107551,0.000288142
140.663,0.00107799,0.000288815
140.993,0.00108048,0.000289478
141.318,0.00108296,0.000290147
141.642,0.00108544,0.000290813
141.985,0.00108792,0.000291484
142.314,0.0010904,0.000292154
142.639,0.00109288,0.000292819
142.955,0.00109536,0.000293486
143.28,0.00109784,0.000294159
143.602,0.00110033,0.000294821
143.926,0.00110281,0.000295492
144.25,0.00110529,0.000296159
144.569,0.00110777,0.000296823
144.897,0.00111026,0.00029749
145.226,0.00111274,0.000298155
145.537,0.00111522,0.000298825
145.848,0.0011177,0.000299497
146.169,0.00112018,0.000300165
146.485,0.00112266,0.000300833
146.82,0.00112514,0.000301498
147.158,0.00112762,0.00030217
147.487,0.0011301,0.000302836
147.823,0.00113259,0.000303498
148.172,0.00113507,0.000304167
148.513,0.00113755,0.000304835
148.844,0.00114003,0.000305509
149.179,0.00114251,0.000306173
149.505,0.001145,0.000306838
149.835,0.00114747,0.000307511
150.159,0.00114995,0.000308182
150.483,0.00115243,0.000308852
150.809,0.00115491,0.000309519
151.136,0.0011574,0.000310183
151.454,0.00115988,0.00031085
151.771,0.00116236,0.00031152
152.09,0.00116485,0.000312183
152.422,0.00116733,0.000312852
152.76,0.00116981,0.000313522
153.092,0.00117229,0.000314187
153.427,0.00117477,0.000314857
153.749,0.00117725,0.000315524
154.082,0.00117973,0.000316194
154.425,0.00118221,0.00031686
154.763,0.00118469,0.000317529
155.104,0.00118717,0.0003182
155.447,0.00118966,0.000318867
155.793,0.00119213,0.00031954
156.121,0.00119461,0.000320214
156.455,0.00119709,0.000320878
156.781,0.00119958,0.00032154
157.12,0.00120206,0.000322209
157.44,0.00120455,0.000322869
157.757,0.00120703,0.00032354
158.07,0.00120951,0.000324209
158.395,0.00121199,0.000324874
158.721,0.00121447,0.000325541
159.041,0.00121696,0.000326204
159.356,0.00121944,0.000326869
159.672,0.00122193,0.000327536
159.984,0.00122441,0.000328197
160.284,0.0012269,0.00032886
160.602,0.00122938,0.00032953
160.939,0.00123186,0.000330199
161.269,0.00123434,0.000330866
161.594,0.00123681,0.000331543
161.915,0.00123929,0.000332214
162.247,0.00124177,0.000332883
162.571,0.00124425,0.000333554
162.898,0.00124673,0.000334222
163.228,0.00124921,0.000334889
163.558,0.0012517,0.000335552
163.899,0.00125418,0.000336223
164.215,0.00125666,0.000336889
164.538,0.00125914,0.000337559
164.868,0.00126161,0.000338235
165.197,0.00126409,0.000338902
165.528,0.00126658,0.000339563
165.872,0.00126907,0.000340229
166.212,0.00127155,0.000340899
166.541,0.00127403,0.000341565
166.867,0.00127651,0.000342235
167.192,0.001279,0.0003429
167.524,0.00128147,0.000343571
167.851,0.00128395,0.000344242
168.167,0.00128644,0.000344906
168.481,0.00128892,0.000345576
168.796,0.00129139,0.00034625
169.114,0.00129387,0.000346919
169.437,0.00129635,0.000347588
169.764,0.00129883,0.000348255
170.089,0.00130131,0.000348925
170.406,0.0013038,0.000349589
170.722,0.00130628,0.000350255
171.039,0.00130876,0.000350923
171.348,0.00131124,0.000351592
171.661,0.00131372,0.000352263
171.973,0.00131621,0.000352927
172.279,0.00131869,0.000353592
172.596,0.00132116,0.000354269
172.937,0.00132364,0.000354945
173.257,0.00132612,0.000355607
173.583,0.00132861,0.000356271
173.926,0.00133109,0.000356941
174.257,0.00133357,0.000357614
174.585,0.00133605,0.000358285
174.928,0.00133852,0.00035896
175.266,0.001341,0.000359629
175.598,0.00134348,0.000360302
175.911,0.00134597,0.000360962
176.23,0.00134845,0.000361623
176.553,0.00135093,0.000362291
176.876,0.00135341,0.000362958
177.208,0.00135589,0.000363632
177.528,0.00135837,0.000364304
177.863,0.00136085,0.000364969
178.196,0.00136333,0.000365636
178.528,0.00136582,0.000366303
178.865,0.00136829,0.000366981
179.203,0.00137077,0.000367651
179.532,0.00137325,0.000368318
179.847,0.00137572,0.00036899
180.158,0.0013782,0.000369661
180.47,0.00138068,0.000370331
180.781,0.00138316,0.000370999
181.099,0.00138565,0.000371662
181.43,0.00138813,0.000372333
181.775,0.00139061,0.000373003
182.13,0.00139309,0.000373673
182.473,0.00139557,0.000374339
182.806,0.00139806,0.000375003
183.142,0.00140054,0.000375665
183.458,0.00140302,0.000376332
183.768,0.00140551,0.000376997
184.089,0.00140799,0.000377668
184.416,0.00141047,0.000378335
184.738,0.00141295,0.000379005
185.053,0.00141542,0.000379679
185.375,0.0014179,0.00038035
185.712,0.00142038,0.000381023
186.04,0.00142286,0.00038169
186.382,0.00142534,0.000382359
186.714,0.00142782,0.00038303
187.033,0.0014303,0.000383701
187.349,0.00143277,0.000384375
187.662,0.00143526,0.000385039
187.975,0.00143775,0.000385703
188.289,0.00144023,0.000386372
188.602,0.00144271,0.00038704
188.922,0.00144519,0.00038771
189.253,0.00144766,0.000388389
189.596,0.00145014,0.000389056
189.944,0.00145262,0.000389724
190.287,0.0014551,0.000390398
190.617,0.00145758,0.000391064
190.94,0.00146006,0.000391732
191.275,0.00146254,0.0003924
191.606,0.00146502,0.000393068
191.931,0.00146751,0.000393728
192.251,0.00146999,0.000394396
192.571,0.00147247,0.000395064
192.888,0.00147495,0.000395736
193.206,0.00147743,0.0003964
193.554,0.00147991,0.000397075
193.893,0.00148239,0.000397743
194.229,0.00148486,0.000398414
194.562,0.00148734,0.000399086
194.902,0.00148982,0.000399755
195.226,0.00149231,0.000400415
195.55,0.00149479,0.000401079
195.879,0.00149727,0.00040175
196.219,0.00149975,0.000402424
196.552,0.00150223,0.000403094
196.889,0.00150472,0.000403755
197.223,0.00150719,0.000404426
197.55,0.00150967,0.000405095
197.886,0.00151215,0.00040577
198.209,0.00151463,0.000406437
198.536,0.0015171,0.00040711
198.862,0.00151957,0.000407789
199.169,0.00152206,0.000408453
199.486,0.00152454,0.000409126
199.809,0.00152701,0.000409801
200.142,0.00152949,0.000410471
200.476,0.00153197,0.000411138
200.814,0.00153444,0.000411815
201.148,0.00153692,0.000412484
201.477,0.0015394,0.000413155
201.799,0.00154188,0.000413827
202.12,0.00154437,0.000414489
202.447,0.00154684,0.000415159
202.777,0.00154933,0.000415827
203.106,0.0015518,0.000416499
203.415,0.00155429,0.000417164
203.736,0.00155677,0.000417831
204.057,0.00155925,0.0004185
204.388,0.00156173,0.000419169
204.709,0.00156421,0.000419836
205.033,0.00156669,0.000420507
205.364,0.00156917,0.000421179
205.691,0.00157165,0.00042185
206.019,0.00157412,0.000422524
206.357,0.0015766,0.000423191
206.681,0.00157908,0.000423865
207.01,0.00158155,0.00042454
207.335,0.00158403,0.000425206
207.658,0.00158652,0.000425869
207.984,0.001589,0.000426539
208.321,0.00159148,0.000427212
208.643,0.00159396,0.000427875
208.967,0.00159645,0.000428541
209.289,0.00159893,0.000429207
209.62,0.0016014,0.000429884
209.945,0.00160388,0.000430552
210.271,0.00160636,0.000431222
210.59,0.00160884,0.000431892
210.9,0.00161132,0.000432563
211.219,0.0016138,0.000433239
211.551,0.00161627,0.00043391
211.88,0.00161875,0.00043458
212.216,0.00162123,0.000435248
212.558,0.00162371,0.000435915
212.903,0.00162619,0.000436584
213.239,0.00162867,0.000437252
213.571,0.00163116,0.00043792
213.901,0.00163364,0.000438581
214.245,0.00163613,0.000439247
214.594,0.00163861,0.000439912
214.924,0.0016411,0.000440575
215.24,0.00164358,0.000441243
215.558,0.00164605,0.000441917
215.885,0.00164854,0.000442584
216.22,0.00165102,0.000443252
216.545,0.00165349,0.000443925
216.871,0.00165597,0.0004446
217.204,0.00165845,0.000445271
217.54,0.00166093,0.000445939
217.872,0.00166341,0.000446611
218.204,0.00166587,0.000447291
218.533,0.00166835,0.000447958
218.861,0.00167084,0.000448626
219.187,0.00167332,0.000449294
219.506,0.00167579,0.000449966
219.825,0.00167827,0.000450637
220.163,0.00168074,0.000451315
220.508,0.00168322,0.000451987
220.841,0.0016857,0.000452654
221.167,0.00168818,0.000453324
221.479,0.00169066,0.000453989
221.798,0.00169315,0.000454655
222.117,0.00169563,0.00045532
222.44,0.00169811,0.000455988
222.772,0.00170059,0.00045666
223.115,0.00170307,0.000457335
223.448,0.00170555,0.000458
223.783,0.00170803,0.00045867
224.098,0.00171051,0.000459338
224.411,0.00171299,0.000460008
224.724,0.00171547,0.000460675
225.042,0.00171795,0.000461347
225.377,0.00172043,0.000462014
225.72,0.00172291,0.000462685
226.058,0.00172539,0.000463349
226.395,0.00172787,0.000464018
226.728,0.00173035,0.000464691
227.059,0.00173283,0.000465358
227.395,0.00173531,0.000466025
227.73,0.00173779,0.000466697
228.058,0.00174027,0.000467363
228.396,0.00174275,0.000468031
228.714,0.00174523,0.000468698
229.041,0.00174771,0.000469369
229.379,0.00175019,0.000470039
229.709,0.00175267,0.000470711
230.02,0.00175515,0.000471379
230.344,0.00175763,0.000472045
230.677,0.00176011,0.000472719
231.012,0.00176258,0.000473395
231.354,0.00176506,0.000474067
231.692,0.00176754,0.000474732
232.028,0.00177002,0.000475402
232.369,0.0017725,0.000476074
232.716,0.00177498,0.000476743
233.052,0.00177747,0.000477406
233.371,0.00177995,0.000478075
233.708,0.00178243,0.000478741
234.053,0.00178491,0.000479413
234.391,0.00178739,0.00048008
234.717,0.00178987,0.000480748
235.027,0.00179235,0.000481416
235.351,0.00179483,0.000482086
235.683,0.00179731,0.000482762
236.008,0.00179979,0.000483431
236.335,0.00180226,0.000484103
236.664,0.00180474,0.000484773
236.989,0.00180723,0.00048544
237.304,0.0018097,0.000486113
237.633,0.00181218,0.000486785
237.947,0.00181466,0.000487447
238.276,0.00181714,0.000488118
238.597,0.00181962,0.000488791
238.917,0.0018221,0.000489459
239.253,0.00182458,0.000490132
239.589,0.00182705,0.000490801
239.917,0.00182954,0.000491468
240.245,0.00183202,0.000492138
240.576,0.00183449,0.000492814
240.904,0.00183697,0.000493483
241.23,0.00183946,0.000494147
241.558,0.00184194,0.00049481
241.884,0.00184442,0.000495486
242.214,0.0018469,0.000496154
242.566,0.00184938,0.000496822
242.895,0.00185185,0.000497493
243.222,0.00185433,0.000498162
243.558,0.00185681,0.000498833
243.9,0.00185929,0.000499507
244.229,0.00186176,0.000500182
244.56,0.00186424,0.00050085
244.884,0.00186672,0.000501516
245.217,0.0018692,0.000502192
245.549,0.00187168,0.000502861
245.885,0.00187416,0.000503528
246.225,0.00187664,0.000504195
246.561,0.00187912,0.000504869
246.895,0.00188159,0.000505544
247.232,0.00188407,0.000506215
247.56,0.00188654,0.000506887
247.882,0.00188903,0.000507555
248.203,0.00189151,0.000508223
248.519,0.00189399,0.000508891
248.837,0.00189646,0.00050957
249.159,0.00189893,0.000510243
249.504,0.0019014,0.000510924
249.838,0.00190388,0.000511598
250.165,0.00190635,0.000512273
250.485,0.00190883,0.000512947
250.8,0.0019113,0.000513621
251.126,0.00191378,0.000514289
251.45,0.00191627,0.000514957
251.793,0.00191873,0.000515639
252.116,0.00192121,0.000516314
252.445,0.00192369,0.000516979
252.767,0.00192616,0.000517653
253.089,0.00192864,0.000518324
253.413,0.00193113,0.000518989
253.721,0.00193361,0.000519657
254.037,0.00193608,0.000520332
254.377,0.00193856,0.000521006
254.709,0.00194103,0.000521679
255.042,0.00194351,0.000522347
255.376,0.001946,0.000523014
255.701,0.00194848,0.000523683
256.029,0.00195096,0.000524351
256.359,0.00195344,0.000525019
256.688,0.00195592,0.000525685
257.029,0.0019584,0.000526356
257.364,0.00196088,0.000527024
257.704,0.00196336,0.00052769
258.044,0.00196584,0.000528362
258.376,0.00196832,0.000529034
258.703,0.00197079,0.00052971
259.034,0.00197327,0.000530383
259.365,0.00197575,0.000531054
259.684,0.00197823,0.000531725
260.007,0.0019807,0.000532402
260.329,0.00198318,0.000533071
260.667,0.00198565,0.000533745
261.011,0.00198813,0.000534417
261.343,0.00199061,0.00053509
261.673,0.00199308,0.000535761
262.005,0.00199556,0.000536433
262.335,0.00199804,0.000537099
262.662,0.00200052,0.00053777
263,0.002003,0.000538444
263.318,0.00200548,0.000539107
263.647,0.00200795,0.000539782
263.987,0.00201043,0.000540452
264.329,0.00201291,0.000541126
264.671,0.00201539,0.000541799
264.998,0.00201787,0.000542467
265.323,0.00202034,0.000543144
265.635,0.00202282,0.000543814
265.957,0.0020253,0.000544486
266.27,0.00202778,0.000545155
266.59,0.00203025,0.00054583
266.928,0.00203273,0.000546501
267.245,0.00203521,0.000547167
267.584,0.00203769,0.000547841
267.932,0.00204016,0.000548511
268.275,0.00204264,0.000549183
268.612,0.00204513,0.000549849
268.966,0.0020476,0.000550523
269.305,0.00205007,0.000551202
269.634,0.00205255,0.000551875
269.958,0.00205502,0.000552552
270.286,0.0020575,0.000553222
270.622,0.00205997,0.000553896
270.959,0.00206245,0.000554566
271.284,0.00206493,0.000555232
271.604,0.00206741,0.000555909
271.935,0.00206988,0.000556581
272.279,0.00207236,0.000557252
272.625,0.00207484,0.000557923
272.978,0.00207732,0.000558595
273.333,0.0020798,0.000559265
273.666,0.00208228,0.000559933
273.995,0.00208475,0.000560609
274.327,0.00208723,0.000561283
274.657,0.0020897,0.000561958
